Leaf_Wetness,Drought,Precipitation,Relative_Humidity,Soil_Moisture,Solar_Power,Temperature,Wind_Speed,AcresBurned
0,-4,0,30.55,0,247.85,23.9875,8.9125,257314
0,-3,0,50.35625,0.08875,358.18125,18.1859375,17.7515625,30274
0,-3,0.32625,49.51953125,0.15259375,63.89765625,24.73574219,10.71894531,27531
0,-4,0.04078125,45.08994141,0.019074219,489.224707,21.25446777,10.98986816,27440
0,-4,0.207597656,39.72374268,0.193009277,709.9030884,26.36930847,8.998733521,22992
0,-4,0.025949707,43.31546783,0.09525116,137.962886,25.83366356,9.49984169,20292
0,-4,0.466993713,41.78943348,0.027156395,695.9953608,30.01670794,9.574980211,14754
0.125,-4,0.279624214,56.83617918,0.126644549,86.99942009,18.63958849,8.146872526,12503
0.015625,-4,0.228703027,38.5045224,0.027705569,24.79992751,29.45494856,12.06835907,11429
0.001953125,-4,0.028587878,42.7255653,0.003463196,3.099990939,27.94436857,12.35854488,8073
0.000244141,-4,0.253573485,41.30319566,0.0633079,2.012498867,31.11804607,13.94481811,7055
3.05E-05,-4,0.031696686,33.23789946,0.321788487,0.251562358,17.72725576,18.86810226,6965
3.81E-06,-4,0.121462086,39.71723743,0.040223561,0.031445295,12.41590697,12.22101278,4346
4.77E-07,-4,0.132682761,40.52715468,0.005027945,0.003930662,11.75198837,11.3901266,4346
0.25000006,-4,4.232835345,74.07839433,0.119628493,0.000491333,12.25649855,15.04876582,3505
0.031250007,-4,0.821604418,41.40979929,0.014953562,6.14E-05,10.33206232,12.94359573,3166
0.003906251,-3,0.121450552,56.07622491,0.114744195,7.68E-06,21.76650779,18.98044947,3111
0.125488281,-4,0.032681319,58.13452811,0.045343024,9.60E-07,21.24581347,16.88505618,2781
0.015686035,-4,0.004085165,45.46681601,0.378417878,480.7000001,26.66822668,13.59813202,2462
0.126960754,-4,0.000510646,63.758352,0.077802235,60.08750001,23.43352834,10.0497665,2236
0.015870094,-4,2.347563831,53.657294,0.402225279,98.2859375,19.30419104,9.081220813,2060
0.001983762,-4,0.293445479,47.66966175,0.05027816,173.7107422,21.53802388,18.5851526,1984
0.00024797,-4,0.209180685,38.87120772,0.03078477,103.4888428,23.54225299,11.89814408,1708
3.10E-05,-4,0.026147586,52.44640096,0.161723096,12.93610535,22.38028162,8.862268009,1383
3.87E-06,-4,0.003268448,55.66830012,0.055965387,1.617013168,18.3850352,15.0327835,1271
4.84E-07,-4,0.069158556,40.72103752,0.068620673,0.202126646,23.5356294,13.65409794,1070
6.05E-08,-4,0.16739482,29.65262969,0.008577584,528.8002658,22.65445368,9.931762242,794
7.57E-09,1,0.250924352,31.29407871,0.477447198,66.10003323,24.83180671,8.62897028,712
9.46E-10,-3,0.047615544,50.37425984,0.1385559,12.80000415,25.95397584,10.52862129,712
0.25,0,0.619701943,38.74678248,0.483819487,1.600000519,26.09424698,8.241077661,612
0.03125,-3,1.057462743,47.94334781,0.637977436,0.200000065,28.94928087,15.74263471,572
0.00390625,-4,0.132182843,55.26791848,0.162497179,130.6875,25.15616011,11.06782934,534
0.000488281,-4,0.024022855,39.37098981,0.139687147,825.6734375,21.56952001,11.18347867,513
6.10E-05,-4,0.010502857,36.05887373,0.104960893,103.2091797,22.47119,11.58543483,510
7.63E-06,-4,0.321312857,41.81985922,0.013120112,581.5636475,25.80889875,15.18567935,502
9.54E-07,-1,0.040164107,43.6274824,0.028640014,754.0829559,19.87611234,18.99820992,500
0.250000119,-3,0.685020513,66.9284353,0.160705002,97.99786949,24.27201404,19.44977624,492
0.031250015,-4,0.085627564,39.01605441,0.082088125,789.2497337,28.67150176,17.84372203,482
0.003906252,-4,0.453203446,38.0895068,0.022761016,100.8687167,23.25893772,9.542965254,413
0.000488281,-3,0.464150431,44.78618835,0.246845127,12.60858959,9.819867215,8.380370657,406
6.10E-05,-4,0.199268804,53.68577354,0.030855641,659.0885737,18.8774834,17.19754633,376
0.250007629,-4,0.0249086,42.58572169,0.003856955,82.38607171,25.02218543,16.32469329,354
0.031250954,-4,0.799363575,50.44821521,0.324982119,515.273259,21.31527318,21.56558666,305
0.378906369,-4,0.677420447,57.7435269,0.129372765,64.40915737,18.20190915,17.93319833,303
0.172363296,-4,0.529677556,42.91794086,0.258421596,34.63864467,25.01273864,16.36664979,298
0.146545412,-4,4.233709694,57.50224261,0.313427699,249.9673306,25.81409233,20.49583122,274
0.018318177,-4,0.529213712,46.98778033,0.151303462,31.24591632,24.52676154,11.8494789,274
0.002289772,-4,0.066151714,54.87347254,0.108037933,730.0682395,25.76584519,8.756184863,268
0.000286222,-4,0.493268964,60.50918407,0.111629742,91.25852994,29.00823065,8.594523108,263
3.58E-05,-4,0.061658621,40.72614801,0.070953718,11.40731624,20.31352883,11.72431539,243
0.625004472,-3,0.007707328,58.2282685,0.194744215,1.42591453,23.1891911,17.44053942,240
0.328125559,-4,0.349713416,56.79103356,0.024343027,0.178239316,25.19864889,16.34256743,237
0.041015695,-3,0.043714177,29.1613792,0.320792878,867.7222799,23.61233111,17.35532093,217
0.005126962,-4,0.069214272,45.2951724,0.04009911,446.052785,24.68904139,10.08191512,200
0.00064087,-4,0.082401784,36.58689655,0.005012389,55.75659812,35.58613017,15.03523939,200
8.01E-05,-4,0.224050223,38.97336207,0.157126549,713.0820748,21.53576627,12.57940492,196
1.00E-05,-4,0.028006278,27.09667026,0.019640819,95.64775935,30.17947078,16.22242562,195
0.250001252,-4,3.427250785,75.72458378,0.002455102,345.4184699,16.77243385,13.0778032,190
0.031250156,-4,0.428406348,64.92807297,-665.9996931,329.9523087,19.43405423,27.1347254,170
0.37890627,-4,0.061050794,58.64100912,-83.24996164,41.24403859,16.62925678,16.24184068,163
0.047363284,-4,0.007631349,50.19262614,-10.2679952,58.34300482,24.9536571,13.10523008,163
0.00592041,-4,0.000953919,49.13657827,-1.145249401,60.4803756,25.99420714,12.71315376,163
0.250740051,-4,0.28761924,64.21707228,-0.143156175,7.56004695,20.12427589,18.05164422,159
0.406342506,-3,0.044702405,79.56463404,0.246730478,10.03250587,21.19053449,15.14395553,158
0.050792813,-4,0.106837801,55.84557925,0.11434131,609.3540632,28.39881681,9.530494441,150
0.006349102,-4,0.044604725,39.85569741,0.105667664,365.7067579,28.8373521,12.74131181,150
0.000793638,-4,0.043075591,42.50696218,0.296708458,62.00084474,24.07966901,13.45516398,150
0.250099205,-3,0.014134449,61.27587027,0.124588557,7.750105592,20.58495863,11.0318955,149
0.031262401,-3,2.486766806,55.73448378,0.45957357,0.968763199,14.32311983,9.253986937,134
0.0039078,-3,0.310845851,51.45431047,0.427571696,42.4460954,21.57788998,13.70674837,125
0.000488475,-4,0.130105731,64.28178881,0.161571462,244.7307619,20.20973625,21.02584355,124
6.11E-05,-1,0.025013216,56.4227236,0.138071433,335.9163452,23.73871703,19.47823044,124
7.63E-06,-4,0.003126652,65.21534045,0.102008929,249.9395432,19.79233963,11.54727881,124
9.54E-07,-4,0.000390832,49.06441756,0.012751116,31.24244289,17.26154245,14.19340985,120
1.19E-07,-4,4.89E-05,47.78305219,0.00159389,13.04280536,24.65769281,11.16167623,116
1.49E-08,-4,6.11E-06,39.91038152,0.017449236,679.7053507,27.3572116,9.095209529,110
1.86E-09,-4,7.63E-07,39.71379769,0.002181155,84.96316883,30.40715145,14.57440119,108
2.33E-10,-2,0.011250095,53.98922471,0.140147644,36.0703961,27.05089393,13.53430015,105
0.125,-4,0.542656262,55.03615309,0.377643456,14.63379951,21.60636174,14.76678752,100
0.015625,-4,0.067832033,79.64201914,-665.9527946,450.8292249,18.57579522,11.77084844,100
0.001953125,-4,2.652229004,66.85525239,-83.01247432,56.35365312,14.3719744,17.10885605,98
0.000244141,-4,1.262778626,54.10690655,-10.25093429,314.1067066,21.0839968,17.08860701,97
3.05E-05,-4,2.277847328,46.61336332,-1.185491786,258.2008383,24.2229996,9.698575876,97
3.81E-06,-4,0.409730916,36.32667041,-0.148186473,367.6251048,20.67787495,11.57482198,97
4.77E-07,-4,0.097466365,60.0783338,0.191851691,573.0031381,23.64723437,13.65935275,96
0.62500006,-4,0.100933296,76.12229173,0.129731461,71.62539226,22.4934043,18.23241909,94
0.078125007,-4,0.027616662,45.85278647,0.433841433,361.928174,29.69917554,15.01655239,92
0.009765626,-4,0.013452083,43.36909831,0.158230179,276.2785218,25.03739694,15.42706905,91
0.001220703,-4,0.00168151,45.42113729,0.132403772,138.8973152,24.50467462,15.69088363,90
0.000152588,-3,0.000210189,55.41514216,0.229300472,19.9371644,27.71308433,12.04886045,85
0.750019073,-4,4.685026274,80.41439277,0.278287559,2.49214555,14.88913554,17.56860756,82
0.093752384,-4,0.649378284,44.2142991,0.034785945,592.5240182,26.63614194,18.80857594,80
0.011719048,-3,2.603672286,53.62678739,0.095598243,285.9280023,26.96701774,10.43857199,75
0.001464881,-4,0.325459036,43.52834842,0.05207478,574.5660003,29.60837722,11.8173215,75
0.50018311,-4,1.170682379,67.37854355,0.041759348,78.98325004,20.43854715,10.90216519,75
0.062522889,-3,0.146335297,54.73481794,0.138844918,474.5854063,22.41731839,14.66277065,75
0.007815361,-4,0.699541912,53.72935224,0.017355615,608.5106758,29.1521648,8.945346331,73
0.12597692,-4,0.116192739,41.04116903,0.292044452,76.06383447,34.2315206,13.94316829,73
0.015747115,-4,0.067024092,50.31764613,0.109505556,715.0829793,27.86644007,11.48039604,70
0.001968389,-4,0.225878012,45.43970577,0.013688195,673.2478724,20.34580501,19.3850495,68
0.250246049,-4,0.028234751,41.22996322,0.111961024,84.15598405,24.09322563,10.96063119,64
0.031280756,-3,0.066029344,26.1662454,0.013995128,25.51949801,13.1866532,19.1200789,60
0.003910095,-4,0.023253668,48.95828068,0.170624391,520.5649373,23.89833165,9.552509862,60
0.000488762,-4,0.106656708,47.10728508,0.021328049,155.7581172,25.68729146,13.98156373,52
6.11E-05,-4,0.013332089,46.71341064,0.086416006,19.46976464,20.19841143,14.48519547,51
0.625007637,-4,4.295416511,68.23917633,0.150052001,2.433720581,12.21230143,19.31064943,50
0.078125955,-4,2.199427064,64.54239704,0.1148815,89.34171507,22.20153768,9.476331179,50
0.009765744,-3,0.274928383,70.29279963,0.331610188,11.51771438,21.45019221,9.909541397,50
0.626220718,-3,0.041866048,55.72409995,0.143701273,1.439714298,30.91877403,13.97619267,50
0.07827759,-4,0.005233256,47.40301249,0.052337659,729.3049643,21.45234675,17.52202408,50
0.009784699,-4,0.000654157,43.52537656,0.028417207,91.16312054,26.90654334,12.34025301,46
0.001223087,-4,0.07508177,38.42817207,0.215802151,170.7578901,26.56331792,10.78003163,46
0.625152886,-4,0.009385221,60.36602151,0.207475269,24.36973626,26.70791474,10.42250395,45
0.078144111,-4,0.141173153,34.60825269,0.025934409,3.046217032,33.50098934,14.35281299,43
0.009768014,-4,0.017646644,51.68853159,0.115616801,366.2182771,26.18762367,9.069101624,42
1.001221002,-4,0.002205831,86.42356645,-665.9855479,47.31478464,20.79845296,19.6086377,41
0.125152625,-4,0.000275729,43.46544581,-83.22444349,5.91434808,17.22480662,10.82607971,40
0.265644078,-4,3.45E-05,49.22068073,-10.32455544,0.73929351,21.87810083,11.82825996,40
0.03320551,-4,4.31E-06,26.45258509,-1.290569429,3.867411689,35.8722626,12.6160325,40
0.004150689,-4,0.090000539,48.10657314,-0.080821179,449.5709265,29.08403283,9.214504062,40
0.000518836,-4,0.011250067,56.10082164,0.108897353,94.63386581,24.5730041,9.176813008,40
6.49E-05,-4,0.066406258,34.33760271,0.013612169,52.64173323,31.52162551,13.47210163,40
8.11E-06,-4,0.099550782,39.79220034,0.001701521,129.4927167,29.30270319,11.9090127,38
0.250001013,-4,0.021193848,45.87402504,0.00033769,16.18658958,27.2503379,9.913626588,38
0.281250127,-3,0.002649231,56.07175313,0.155792211,3.473323698,29.16879224,16.58920332,38
0.035156266,-4,0.000331154,40.99646914,0.062349026,385.7966655,30.69609903,14.41115042,35
0.004394533,-3,4.14E-05,63.69955864,0.186543628,396.7620832,22.32451238,22.1513938,35
0.000549317,-4,5.17E-06,55.59994483,0.023317954,254.7452604,17.84056405,15.84392423,33
6.87E-05,-4,6.47E-07,47.4374931,0.160539744,31.84315755,26.06757051,17.99299053,31
8.58E-06,-4,8.08E-08,52.94218664,0.042317468,821.8178947,28.99594631,11.56162382,30
1.07E-06,-4,1.01E-08,48.58027333,0.154039684,504.1147368,25.89949329,13.98270298,30
1.34E-07,-4,0.036250001,37.13503417,0.02350496,809.1393421,7.412436661,18.59783787,30
1.68E-08,-4,0.00453125,53.29187927,0.00293812,372.7049178,23.85155458,18.19972973,28
2.10E-09,-4,0.000566406,55.31148491,0.000367265,318.1506147,25.90644432,18.14996622,28
2.62E-10,-4,7.08E-05,55.56393561,4.59E-05,311.3313268,26.16330554,18.14374578,28
3.27E-11,-4,8.85E-06,55.59549195,5.74E-06,310.4789159,26.19541319,18.14296822,28
4.09E-12,-4,0.007501106,42.12443649,0.065750717,287.8473645,27.52442665,11.56787103,27
0.875,-2,1.924687638,79.55305456,0.15259384,35.98092056,25.72805333,8.108483878,25
0.109375,-4,0.240585955,56.83163182,0.16294923,99.84761507,21.21600667,18.23856048,25
0.013671875,-4,0.030073244,54.39145398,0.082743654,49.03095188,21.25200083,12.80482006,25
0.376708984,-4,3.766259156,66.23643175,0.059592957,6.128868985,13.2940001,20.02560251,23
